"English","Welsh"
"Before Hon","Gerbron Ei Anrhydedd [male] / Gerbron Ei Hanrhydedd [female]"
"Court of Protection Daily Cause List","Rhestr Achosion Ddyddiol y Llys Gwarchod"
"Note this document contains Special Category Data as defined by Data Protection Act 2018, formally known as Sensitive Personal Data, and should be handled appropriately.","Noder bod y ddogfen hon yn cynnwys Data Categori Arbennig fel y'i diffinnir yn Neddf Gwarchod Data 2018, a elwid gynt yn Ddata Personol Sensitif, a dylid ei drin yn y ffordd briodol."
"PDF/UA page","Tudalen PDF/UA"
"SSCS Daily List for","Rhestr Ddyddiol SSCS ar gyfer"
"This document contains information intended to assist the accurate reporting of court proceedings. It is vital you ensure that you safeguard the Special Category Data included and abide by reporting restrictions (for example on victims and children). HMCTS will stop sending the data if there is concern about how it will be used.","Mae'r ddogfen hon yn cynnwys gwybodaeth a fwriedir i gynorthwyo i roi adroddiad manwl-gywir am achosion llys. Mae'n hanfodol eich bod yn sicrhau eich bod yn gwarchod y Data Categori Arbennig sydd ynddi ac yn cadw at gyfyngiadau adrodd (er enghraifft yn achos dioddefwyr a phlant). Bydd GLlTEM yn rhoi'r gorau i anfon y data os cyfyd pryder ynghylch sut y'i defnyddir."
"Hearing information appears overleaf","Mae gwybodaeth am yr achos dros y ddalen"
"of (as in, page 3 *of* 6)","o"
"Social Security and Child Support","Nawdd Cymdeithasol a Chynnal Plant"
"Thank you for reading this document thoroughly.","Diolch am ddarllen y ddogfen hon yn fanwl."
"in order to:","i:"
"Case reference number or case ID","Cyfeirnod yr achos neu rif adnabod yr achos"
"*denotes a defendant in custody","*dynodi diffynnydd yn y ddalfa"
"*denotes a defendant in custody","Mae (*) yn dynodi diffynnydd a gedwir yn y ddalfa"
"[email address] [telephone number]","[cyfeiriad ebost] [rhif ffôn]"
"1 hour","1 awr"
"1 result successfully found","Wedi dod o hyd i 1 canlyniad"
"1 year","blwyddyn"
